,ids,exp
1223,3728,4
1224,669,12
1225,1060,9
1226,2671,5
1227,3768,4
1228,3770,1
1229,3627,1
1230,3534,17
1231,3667,1
1232,2985,18
1233,2441,9
1234,1009,4
1235,2261,2
1236,1058,3
1237,3338,1
1238,3632,3
1239,2921,10
1240,1353,1
1241,373,11
1242,3740,3
1243,3696,21
1244,691,3
1245,3922,3
1246,1679,12
1247,2345,9
1248,3178,4
1249,3527,7
1250,445,5
1251,741,8
1252,2067,1
1253,3218,9
1254,2802,2
1255,1517,6
1256,332,12
1257,3383,6
1258,372,1
1259,2951,3
1260,2902,5
1261,2376,3
1262,467,3
1263,2960,6
1264,2137,3
1265,2400,13
1266,3144,4
1267,3050,1
1268,2,21
1269,2299,3
1270,2278,3
1271,2547,1
1272,1759,1
1273,3152,2
1274,1973,6
1275,518,6
1276,1664,3
1277,1919,3
1278,1342,5
1279,3061,10
1280,1094,9
1281,162,9
1282,1046,3
1283,2366,3
1284,2543,1
1285,2231,2
1286,1913,1
1287,3793,2
1288,2339,1
1289,2566,6
1290,2839,6
1291,3548,8
1292,3601,1
1293,2667,6
1294,2459,3
1295,1755,3
1296,2503,1
1297,3683,5
1298,927,5
1299,87,3
1300,179,14
1301,360,1
1302,3070,3
1303,1356,8
1304,2111,5
1305,3385,5
1306,287,4
1307,2648,1
1308,1127,5
1309,3918,2
1310,3920,1
1311,2026,6
1312,3598,2
1313,45,2
1314,1352,2
1315,3089,1
1316,2559,7
1317,3592,1
1318,3772,1
1319,3453,3
1320,3275,3
1321,2928,2
1322,2286,9
1323,1124,6
1324,3172,9
1325,3769,1
1326,1751,1
1327,1743,1
1328,1487,2
1329,19,2
1330,2410,2
1331,3390,2
1332,598,1
1333,382,5
1334,552,5
1335,3364,2
1336,314,2
1337,3810,5
1338,2421,1
1339,3824,5
1340,2092,4
1341,42,3
1342,313,4
1343,1646,4
1344,21,4
1345,1415,2
1346,1687,6
1347,1032,1
1348,3703,6
1349,3528,1
1350,1782,5
1351,3935,6
1352,2330,3
1353,337,1
1354,670,3
1355,574,5
1356,836,6
1357,3419,3
1358,2379,5
1359,3566,2
1360,3570,4
1361,3078,4
1362,3789,1
1363,3863,1
1364,2115,2
1365,2918,4
1366,2129,2
1367,1081,1
1368,1216,6
1369,3365,4
1370,841,4
1371,1431,1
1372,930,11
1373,2183,1
1374,3386,1
1375,2041,7
1376,122,1
1377,803,9
1378,3909,12
1379,2788,1
1380,209,1
1381,3723,2
1382,3158,7
1383,2567,7
1384,3315,6
1385,1063,8
1386,413,1
1387,1019,5
1388,1404,3
1389,3834,3
1390,908,6
1391,804,3
1392,2147,3
1393,2148,1
1394,2793,3
1395,2614,6
1396,1798,5
1397,2113,3
1398,3097,2
1399,3012,2
1400,1240,2
1401,3003,3
1402,3708,2
1403,3177,5
1404,2553,4
1405,2457,2
1406,3441,1
1407,3689,1
1408,2409,10
1409,3913,6
1410,1536,2
1411,727,1
1412,491,3
1413,2146,2
1414,2025,2
1415,1809,4
1416,1016,2
1417,2016,2
1418,378,11
1419,2751,1
1420,687,2
1421,157,15
1422,377,2
1423,3765,6
1424,3733,1
1425,3790,4
1426,917,3
1427,906,1
1428,1980,1
1429,1979,1
1430,673,2
1431,3685,3
1432,3700,3
1433,2530,3
1434,2586,1
1435,3444,3
1436,1023,3
1437,3839,1
1438,28,6
1439,1280,1
1440,2205,2
1441,2475,5
1442,2758,4
1443,1619,13
1444,1177,4
1445,3088,1
1446,2131,1
1447,937,9
1448,3603,4
1449,1930,2
1450,2458,7
1451,3680,6
1452,2787,6
1453,1444,3
1454,1473,3
1455,2737,2
1456,3257,11
1457,879,5
1458,3134,1
1459,2805,4
1460,1839,1
1461,75,1
1462,522,1
1463,551,3
1464,26,1
1465,1497,1
1466,3746,7
1467,3238,3
1468,476,7
1469,970,2
1470,2372,1
1471,736,3
1472,2520,3
1473,1285,3
1474,3416,1
1475,3260,3
1476,2059,2
1477,489,1
1478,1891,1
1479,1002,1
1480,2942,2
1481,2633,1
1482,2381,1
1483,3384,3
1484,1479,2
1485,2637,2
1486,2557,4
1487,3090,2
1488,3564,4
1489,3727,2
1490,186,1
1491,1412,1
1492,3060,4
1493,187,3
1494,2531,4
1495,2037,6
1496,3599,1
1497,1188,2
1498,2642,6
1499,1210,1
1500,951,5
1501,532,2
1502,3207,2
1503,1555,3
1504,2988,4
1505,2644,1
1506,860,1
1507,2878,1
1508,1131,1
1509,1761,1
1510,1430,2
1511,2141,4
1512,2279,1
1513,2241,1
1514,3583,3
1515,1712,2
