,ids,exp
1005,2120,11
1006,1147,15
1007,760,1
1008,3265,11
1009,414,3
1010,218,2
1011,1541,8
1012,2053,26
1013,1205,12
1014,2223,5
1015,805,2
1016,1195,34
1017,821,2
1018,1819,4
1019,322,2
1020,1472,7
1021,1605,3
1022,1261,1
1023,1567,2
1024,2695,5
1025,1802,36
1026,1928,3
1027,3275,19
1028,2357,18
1029,2823,29
1030,743,10
1031,2218,1
1032,827,2
1033,1053,11
1034,2810,5
1035,2235,18
1036,318,26
1037,356,36
1038,1963,22
1039,2338,26
1040,3451,3
1041,664,3
1042,3129,1
1043,1623,8
1044,193,3
1045,3137,50
1046,1619,6
1047,3526,19
1048,2166,6
1049,2755,21
1050,2847,24
1051,1198,3
1052,1937,5
1053,2404,14
1054,2806,4
1055,108,14
1056,1916,5
1057,1188,28
1058,1637,8
1059,3049,54
1060,2383,35
1061,3542,62
1062,3127,5
1063,2486,14
1064,1089,3
1065,1297,17
1066,3375,33
1067,1797,9
1068,2442,10
1069,2322,19
1070,369,8
1071,2590,3
1072,1564,5
1073,661,3
1074,145,5
1075,3130,6
1076,846,7
1077,1133,10
1078,1982,3
1079,3256,4
1080,2929,3
1081,2024,14
1082,2308,11
1083,2634,43
1084,754,17
1085,1083,9
1086,892,16
1087,190,41
1088,2652,1
1089,2711,9
1090,242,13
1091,2953,3
1092,3120,2
1093,3301,85
1094,3279,8
1095,617,1
1096,361,1
1097,167,19
1098,198,4
1099,360,5
1100,2820,3
1101,1171,14
1102,2932,35
1103,2526,7
1104,1159,13
1105,1484,18
1106,3165,6
1107,2778,2
1108,879,11
1109,2375,7
1110,3663,24
1111,3540,8
1112,1913,5
1113,1224,18
1114,2072,1
1115,138,14
1116,3625,11
1117,3439,18
1118,1682,4
1119,2514,46
1120,2940,4
1121,2109,1
1122,23,29
1123,831,38
1124,476,2
1125,2712,8
1126,653,3
1127,1321,1
1128,755,5
1129,2591,2
1130,3030,9
1131,965,9
1132,1486,2
1133,71,5
1134,174,7
1135,1230,47
1136,1958,7
1137,2871,15
1138,28,4
1139,1507,7
1140,1715,8
1141,1720,7
1142,1127,10
1143,3072,31
1144,3317,9
1145,18,14
1146,590,5
1147,3233,3
