,ids,exp
1074,1967,70
1075,1763,91
1076,6453,40
1077,3091,96
1078,1854,92
1079,4349,39
1080,2468,49
1081,4330,69
1082,3340,56
1083,2681,24
1084,2062,13
1085,3181,42
1086,480,155
1087,1624,145
1088,2188,147
1089,2268,146
1090,5161,115
1091,6073,100
1092,3067,337
1093,1975,125
1094,1838,16
1095,1062,107
1096,5815,103
1097,6077,523
1098,826,239
1099,562,154
1100,5607,127
1101,1674,158
1102,2744,78
1103,88,126
1104,3654,97
1105,6357,62
1106,4342,19
1107,3637,162
1108,775,147
1109,2742,36
1110,1547,61
1111,4105,126
1112,4301,56
1113,4340,25
1114,5079,33
1115,2657,468
1116,4839,110
1117,463,189
1118,5447,50
1119,2043,395
1120,6126,120
1121,47,210
1122,2790,779
1123,3792,709
1124,3553,186
1125,3619,173
1126,3175,178
1127,2513,51
1128,6538,158
1129,140,135
1130,2481,32
1131,4743,86
1132,1441,73
1133,4856,33
1134,1365,10
1135,34,17
1136,1276,110
1137,4327,21
1138,4502,8
1139,3329,68
1140,3068,23
1141,3719,360
1142,3435,287
1143,1836,26
1144,1699,177
1145,5986,32
1146,4545,157
1147,1484,69
1148,1043,36
1149,3334,44
1150,280,32
1151,5287,29
1152,5533,8
1153,2026,36
1154,2071,17
1155,586,22
1156,1585,77
1157,5618,21
1158,756,212
1159,3017,15
1160,1544,63
1161,5031,53
1162,3599,78
1163,1219,13
1164,2330,377
1165,42,150
1166,1733,508
1167,3843,438
1168,937,273
1169,6267,50
1170,618,541
1171,3908,359
1172,1637,185
1173,5,132
1174,2690,41
1175,3471,59
1176,1285,27
1177,1647,20
1178,3074,12
1179,2921,43
1180,5080,128
1181,4001,89
1182,6254,40
1183,1142,18
1184,5901,8
1185,2980,126
1186,4457,9
1187,1524,312
1188,3115,5
1189,3657,59
1190,2244,91
1191,349,59
1192,2147,8
1193,5318,5
1194,3310,56
1195,1906,97
1196,4479,452
1197,2750,441
1198,271,546
1199,1266,293
1200,2417,31
1201,6122,303
1202,5886,266
1203,2035,113
1204,5770,767
1205,2824,31
1206,4073,196
1207,3648,24
1208,596,70
1209,936,130
1210,663,177
1211,5956,154
1212,2110,50
1213,4791,50
1214,1976,28
1215,1022,126
1216,6175,30
1217,4097,22
1218,3703,29
1219,5729,94
1220,457,163
1221,4798,49
1222,2536,310
1223,4407,24
1224,2239,57
1225,1206,27
1226,3419,104
1227,6433,112
1228,6103,152
1229,4894,113
1230,1928,255
1231,4794,56
1232,5222,55
1233,5814,31
1234,5687,119
1235,2581,183
1236,815,65
1237,5488,27
1238,5349,140
1239,3158,148
1240,4963,144
1241,3537,104
1242,2460,157
1243,87,180
1244,4210,76
1245,5279,875
1246,5963,23
1247,4861,37
1248,3239,60
1249,616,52
1250,920,44
1251,5861,46
1252,2505,41
1253,708,147
1254,3983,135
1255,4310,63
1256,730,195
1257,897,154
1258,903,126
1259,3935,271
1260,2540,96
1261,5661,81
1262,4051,77
1263,3999,83
1264,3551,96
1265,567,132
1266,2255,80
1267,4427,136
1268,111,64
1269,162,87
1270,1305,59
1271,1958,43
1272,2009,23
1273,201,23
1274,658,93
1275,5971,12
1276,60,231
1277,5725,23
1278,2796,74
1279,5656,309
1280,4473,263
1281,5761,371
1282,2630,118
1283,1315,232
1284,3525,131
1285,5809,309
1286,2078,31
1287,3109,628
1288,1138,248
1289,4500,57
1290,4247,379
1291,2065,20
1292,3132,265
1293,6219,16
1294,6150,155
1295,4354,152
1296,4837,279
1297,1759,276
1298,5236,295
1299,6232,258
1300,3852,274
1301,33,86
1302,5987,103
1303,3303,16
1304,75,84
1305,173,41
1306,973,93
1307,6089,76
1308,5062,9
1309,5013,105
1310,6035,47
1311,1621,122
1312,5407,124
1313,4819,52
1314,5313,37
1315,473,377
1316,2817,151
1317,5320,144
1318,2888,156
1319,3512,79
1320,2890,71
1321,5921,71
1322,5911,328
1323,2402,114
1324,4829,82
1325,5226,120
1326,5140,69
1327,1277,94
1328,3737,167
1329,3460,166
1330,1578,427
1331,1263,179
1332,1774,67
1333,131,132
1334,2476,271
1335,4680,40
1336,3153,31
1337,1323,34
1338,5561,22
1339,4609,34
1340,5524,19
1341,5310,14
1342,4979,389
1343,4828,75
1344,3136,2
1345,2311,81
1346,5268,57
1347,1044,92
1348,898,122
1349,5137,48
1350,4316,19
1351,6426,412
1352,2664,37
1353,2670,71
1354,4873,34
1355,1269,14
1356,2299,118
1357,6542,111
1358,3024,108
1359,4390,93
1360,1018,65
1361,1149,82
1362,1521,42
1363,3224,69
1364,6141,75
1365,1506,41
1366,4039,70
1367,3421,25
1368,4660,323
1369,2056,139
1370,6348,142
1371,4238,124
1372,6202,101
1373,2247,363
1374,807,168
1375,1299,162
1376,4533,32
1377,2292,163
1378,4579,22
1379,1239,587
1380,5159,260
1381,6484,320
1382,2226,326
1383,1530,236
1384,1991,106
1385,657,82
1386,6110,114
1387,3459,155
1388,3955,94
1389,421,82
1390,4102,228
1391,1236,48
1392,686,64
1393,4787,268
1394,382,176
1395,4714,39
1396,83,8
1397,890,67
1398,239,30
1399,2531,44
1400,3484,22
1401,2834,25
1402,1500,20
1403,2731,19
1404,6489,26
1405,3256,120
1406,5088,17
1407,3712,18
1408,3292,13
1409,720,35
1410,3565,43
1411,3416,43
1412,5178,19
1413,5126,19
1414,1057,42
1415,5924,380
1416,5187,46
1417,3281,30
1418,3193,110
1419,4683,80
1420,5847,478
1421,1536,27
1422,2707,46
1423,5243,51
1424,5346,9
1425,5010,50
1426,2267,22
1427,1607,63
1428,2615,29
1429,5716,13
1430,5797,31
1431,1658,13
1432,2667,296
1433,1121,336
1434,138,45
1435,423,106
1436,3346,72
1437,3997,108
1438,6235,269
1439,3886,99
1440,2935,35
1441,5521,47
1442,4402,29
1443,2974,24
1444,5637,64
1445,2722,15
1446,598,29
1447,2079,34
1448,2713,5
1449,6560,28
1450,2960,23
1451,5585,4
1452,5011,45
1453,5995,11
1454,1408,38
1455,2988,24
1456,3102,31
1457,5276,121
1458,1694,224
1459,4524,277
1460,4501,246
1461,5465,211
1462,4574,355
1463,2950,175
1464,117,32
1465,361,24
1466,1492,8
1467,3794,31
1468,4091,20
1469,2438,861
1470,329,41
1471,1172,34
1472,780,45
1473,3384,32
1474,3613,38
1475,2751,4
1476,5946,32
1477,788,36
1478,3165,9
1479,5375,76
1480,3881,22
1481,195,14
1482,2551,105
1483,3554,101
1484,2382,292
1485,2449,128
1486,3184,139
1487,1686,156
1488,3909,134
1489,5274,189
1490,326,115
1491,4549,13
1492,3263,17
1493,12,350
1494,1010,9
1495,1422,233
1496,6273,120
1497,3950,173
1498,1162,49
1499,3612,136
1500,1557,109
1501,3142,114
1502,2692,43
1503,2821,118
1504,3007,32
1505,1155,4
1506,1226,511
1507,1066,177
1508,4954,31
1509,2160,186
1510,3411,35
1511,5709,39
1512,5457,18
1513,1597,87
1514,6248,43
1515,1553,5
1516,561,112
1517,2285,88
1518,3148,55
1519,4589,157
1520,5817,21
1521,1631,204
1522,6493,90
1523,1805,33
1524,993,180
1525,4282,180
1526,4252,26
1527,3100,44
1528,3267,44
1529,1786,20
1530,696,59
1531,269,66
1532,3691,27
1533,5030,32
1534,3172,61
1535,5860,48
1536,4378,60
1537,1563,16
1538,2011,24
1539,5827,4
1540,2970,14
1541,2979,8
1542,4704,82
1543,38,26
1544,3283,7
1545,5587,351
1546,5132,22
1547,590,15
1548,6547,318
1549,4598,136
1550,5573,75
1551,5918,110
1552,1793,34
1553,92,86
1554,6373,69
1555,5167,129
1556,1390,95
1557,5981,26
1558,4614,20
1559,4058,5
1560,836,22
1561,5629,215
1562,6555,121
1563,6551,82
1564,533,39
1565,4472,75
1566,152,135
1567,3304,97
1568,611,27
1569,4134,204
1570,4474,39
1571,6047,53
1572,2102,60
1573,3632,56
1574,6237,100
1575,1060,75
1576,5909,2
1577,3029,132
1578,2358,36
1579,3250,40
1580,1457,55
1581,1940,88
1582,2397,174
1583,4189,132
1584,4442,20
1585,6534,35
1586,2820,22
1587,2361,17
1588,254,17
1589,2217,2
1590,2054,51
1591,6178,25
1592,14,98
1593,3998,53
1594,5778,19
1595,4306,55
1596,373,98
1597,1259,53
1598,1220,61
1599,606,13
1600,320,253
1601,3943,94
1602,1396,101
1603,2072,220
1604,2521,81
1605,4277,240
1606,1884,30
1607,1827,72
1608,3220,230
1609,3807,226
1610,2352,101
1611,1325,97
1612,5263,279
1613,5905,20
1614,5096,23
1615,2799,15
1616,3959,16
1617,450,99
1618,2103,75
1619,534,77
1620,5670,112
1621,4419,80
1622,843,66
1623,246,90
1624,3173,68
1625,6336,20
1626,4867,40
1627,3965,27
1628,5389,36
1629,6128,29
1630,5422,85
1631,3055,30
1632,2482,18
1633,3823,61
1634,1249,62
1635,5163,10
1636,6258,181
1637,2158,21
1638,3277,58
1639,2463,30
1640,537,13
1641,3596,31
1642,174,12
1643,840,7
1644,2633,17
1645,406,19
1646,3071,24
1647,1749,303
1648,4217,176
1649,3118,170
1650,2394,19
1651,4515,67
1652,2249,78
1653,6332,28
1654,2931,131
1655,6131,54
1656,6394,38
1657,3157,43
1658,2357,21
1659,4728,28
1660,6469,44
1661,5099,17
1662,5302,64
1663,6341,23
1664,2045,17
1665,5022,48
1666,4166,111
1667,5556,41
1668,4249,59
1669,5713,22
1670,303,41
1671,4556,34
1672,4083,43
1673,5595,42
1674,858,47
1675,1792,39
